x,y,W
0.154824,0.095234,0.0507591
-0.0256122,-0.0128891,0.0123356
0.124365,-0.126321,0.0717872
0.0210923,0.00815583,0.450075
-0.380286,-1.20607,0.0569719
0.0400083,0.120225,0.128652
-0.185571,0.0773252,0.121192
0.0634977,-0.291703,0.0290333
0.0369998,0.0398255,0.138076
-0.424506,0.14107,0.0487676
0.402307,-0.477193,0.0357177
-0.0300546,0.0516221,0.246377
-1.57741,0.987945,0.0242526
-1.43772,0.937639,0.00495599
0.258526,0.400855,0.0202251
-0.0228715,0.00814279,0.390573
-1.55366,0.548498,0.0234656
1.0781,-0.355811,0.0119808
-0.917132,0.128614,0.0461737
0.096087,0.122678,0.0196023
-0.327692,-1.41079,0.0204182
0.092071,0.13325,0.257009
0.547862,-0.19619,0.0527799
-0.365122,0.0937587,0.0115415
0.287433,0.279626,0.00885421
0.858453,-2.61987,0.0267399
1.77311,-2.82988,0.0271216
-0.0400435,-0.0325947,0.463162
-0.0978989,0.00359713,0.176167
-0.194888,-0.0776569,0.01857
-0.516569,-0.884399,0.000560804
0.363867,-0.213193,0.0219629
-0.515031,-0.719751,0.0935071
0.0613573,0.203329,0.0563729
-0.0756553,-0.162393,0.0678368
-0.0313513,-0.321234,0.00728064
0.737817,0.0696743,0.0113567
0.0483342,0.24755,0.136132
0.000654145,-0.0426108,0.40029
-0.465771,-0.470264,0.0732623
0.405356,0.435066,0.211187
-0.0809696,0.251135,0.0719266
-1.48256,-2.07627,0.00443274
-0.0174836,-0.0914572,0.139985
0.0815946,0.000807253,0.378033
0.0300599,-0.00730533,0.0085556
-0.0300768,0.164349,0.0202432
0.143921,0.453108,0.133148
0.556011,0.389842,0.00439543
-0.414976,0.378151,0.0553663
-0.0249781,-0.0300271,0.0239337
0.143776,-0.173101,0.0300565
-3.95717,4.96121,0.00356919
3.6545,-3.24927,0.00597423
-0.0537504,-0.0620932,0.191669
0.207817,-0.0992838,0.00470641
0.114278,0.00674896,0.0392114
0.0770784,-0.264394,0.121397
-0.0166686,0.0692813,0.266271
-0.863708,-0.910304,0.0177174
-0.438032,-0.539183,0.0036299
0.223632,-0.175674,0.112586
6.47057,3.24131,0.00876394
-5.8509,-3.03643,0.0308808
-0.896378,0.457575,0.0293859
0.0125722,-0.017939,0.0694377
2.16628,0.267716,0.0239648
-1.70734,-0.229514,0.0447168
0.0242528,-0.0198473,0.50781
-0.487507,-0.200626,0.0564654
-0.000460986,-0.00602349,0.293918
-0.307647,-1.8898,0.00863863
0.0774933,0.101658,0.0590813
0.0124207,0.0166414,0.0796413
-2.19217,1.04956,0.022505
0.00592615,0.0286296,0.511496
0.180308,-0.173864,0.503649
0.00729075,0.0722569,0.1042
0.0268623,0.0244817,0.15055
-0.00963019,-0.162475,0.419889
-0.190438,-0.142108,0.03791
0.149831,0.38512,0.0109752
0.00065881,-0.239667,0.174904
0.0657507,-0.120755,0.0136797
0.00739181,0.105344,0.25946
0.234401,0.237058,0.00832111
0.374538,0.163835,0.0288277
1.24675,1.01871,0.000887827
-1.16218,-0.882819,0.0242773
0.4465,0.232108,0.0124751
0.0788775,-0.0493937,0.139674
0.203736,-1.43214,0.00124971
-2.36083,-0.618328,0.0174431
1.69691,0.488865,0.0206734
0.198362,0.15923,0.0259993
-0.00338692,0.103192,0.233668
-2.50487,-25.5239,0.000177942
2.08269,22.1682,0.000718486
-0.348796,0.0257547,0.106816
-2.50437,1.24099,0.00176117
2.56695,-1.14988,0.0204477
-0.107418,0.0177645,0.00432007
-0.236187,0.447535,0.0406421
0.121246,0.0690827,0.238015
-0.0844126,0.0419275,0.0362376
-0.0206277,0.00931771,0.0200432
0.0323157,0.157598,0.0198847
0.173866,-0.0186999,0.266416
0.228096,0.0442768,0.0202375
0.310513,-0.544563,0.00498756
0.0336211,-0.00223767,0.139923
-0.0317985,0.0214395,0.496499
-0.00295059,0.0419466,0.262227
0.449722,-0.578872,0.155391
-0.0644703,0.0798741,0.284586
-0.457011,0.283242,0.0424977
0.181499,-0.276324,0.0151748
-0.105104,-0.0858101,0.0640481
0.113967,-0.397649,0.218534
0.936219,-2.44123,0.00911143
-0.0404077,0.229591,0.069908
8.44398e-05,0.00143822,0.51328
-1.24323,3.29991,0.0028512
-0.0171287,0.0114244,0.513214
-0.0936008,0.11782,0.139373
0.298102,-0.133941,0.100693
-0.111575,0.076884,0.130211
-0.117406,0.0798892,0.00111628
-0.013559,-0.0484057,0.432606
-0.00565227,0.0475775,0.0638589
0.0223007,0.0643902,0.00687581
0.0354145,0.0704473,0.0107807
0.0222633,0.0285115,0.258258
-0.0349903,0.123198,0.287613
0.0710791,-0.0899548,0.502696
-0.0368123,-0.202008,0.267171
1.75809,-1.86581,0.0131969
-0.0655936,0.0303948,0.310835
-0.030927,0.0167152,0.0116033
0.0283608,0.136913,0.024479
0.0225861,-0.0316676,0.25513
-0.0588267,0.0350555,0.0198723
0.179137,1.72239,0.0698339
-0.211448,-0.764735,0.0257812
0.465495,0.00706284,0.0598248
0.00499223,0.0271212,0.130309
0.0153279,0.460733,0.011872
0.152538,-0.431131,0.0155077
0.00267833,0.0400175,0.0898478
-0.197473,0.239694,0.0107589
0.120217,0.0464741,0.431929
-0.437585,0.165521,0.0107927
1.50403,-0.379213,0.00723229
-0.0323185,-0.0200023,0.489741
0.116089,0.0534439,0.0181996
0.03585,0.157929,0.213026
0.0208926,0.0166562,0.0568222
0.0452046,0.0388915,0.114093
0.0929668,0.105975,0.0175238
-0.32397,-0.373687,0.0686244
0.0324419,0.189268,0.150761
-0.0179545,0.00797173,0.440478
-0.0938035,0.0383955,0.0161842
-0.106552,-0.0751192,0.499737
0.386739,-0.450067,0.153001
-0.152111,-0.254589,0.0276764
-0.134935,-0.288481,0.00483833
-0.199074,0.271301,0.0741649
-0.0174894,0.198121,0.134674
-0.0229031,0.0510314,0.498041
0.208849,-0.0447614,0.424215
0.0321534,0.130817,0.0243969
-0.0847565,-0.0978906,0.0354619
-0.602812,0.262082,0.184245
-0.637529,0.305975,0.00956313
-0.22449,0.00285275,0.0956223
-0.0248121,-0.0170363,0.507901
0.0176954,-0.126083,0.244917
-0.00735674,-0.0974027,0.00872874
-0.0740166,-0.170182,0.072842
0.994564,1.1142,0.00824875
-0.188465,-0.218641,0.0201037
-0.24094,0.27313,0.071309
-0.00442856,0.409214,0.00882467
-0.0136932,-0.190513,0.084665
-0.073479,0.262188,0.140849
0.00351263,0.280142,0.216264
-0.128459,0.633722,0.00412155
-0.0281363,0.115721,0.00442622
-1.30174,2.53758,0.0265475
-0.216743,0.0132156,0.0120725
1.53732,-2.17944,0.0420643
-0.0402049,0.273409,0.00493561
-0.0750947,-0.0488086,0.265952
-0.410315,-0.112755,0.0213549
0.310313,-0.216376,0.0510552
0.0974497,-0.00682679,0.00327512
0.0664515,0.151285,0.130898
0.0545268,-0.108265,0.033615
-0.0145808,-0.00597265,0.478881
-0.532827,-0.0144786,0.00948597
-0.05102,-0.0627476,0.0160435
-0.0965133,-0.0259504,0.0196069
-0.0734044,-0.00555739,0.0741397
-0.0925265,0.0191524,0.0915668
0.142126,-0.0546279,0.0533143
-0.000433506,-0.0395219,0.0161533
0.0426307,0.13051,0.0649711
-0.131575,-0.0334429,0.0737777
-0.285065,-0.0809512,0.191397
0.184731,0.0605691,0.16156
0.0685378,-0.0514109,0.326615
2.77321,-1.75428,0.00351476
-0.921192,0.0324656,0.0214898
0.711725,-0.0272743,0.0745309
-0.134493,-0.0195343,0.0138752
-0.188725,-0.185585,0.0386192
0.1671,0.0337616,0.247347
-0.00420592,-0.702188,0.110621
0.138851,0.32601,0.0075792
0.0230499,0.314358,0.0499706
-0.00744693,-0.0870985,0.0279223
-0.0448903,0.0149197,0.148651
-0.00160455,-0.00981419,0.175738
-0.110956,-0.234854,0.0102238
-0.0172044,0.0516561,0.218321
-5.76691,-14.1888,0.00538597
5.42532,13.449,0.0496245
-0.0348245,-0.0638954,0.0178709
0.480679,0.671552,0.0582211
-0.0283996,0.07289,0.0910008
-0.0327095,0.0612101,0.0465844
-0.297173,-0.772369,0.0237054
-0.307578,-0.661915,0.0029286
-0.0535682,-0.088596,0.222593
-0.0142557,-0.0229817,0.0263185
-0.00808025,-0.0109321,0.0465455
-0.0140569,-0.0148794,0.161105
0.0326182,-0.0986071,0.176452
-2.54674,0.528944,0.01034
-0.11496,0.0422506,0.245492
0.125931,0.520492,0.0105973
-0.400369,1.51822,0.0281239
0.171243,-0.886787,0.0207351
0.102104,0.964107,0.00313351
0.121406,-0.188143,0.0104068
-2.10935,-0.142182,0.0381169
-0.428675,-2.79168,0.00194553
25.9678,25.5412,0.000819147
-0.0938066,0.0810444,0.0735147
0.0522393,0.00214134,0.183462
0.580559,-0.352869,0.0997635
-0.233946,0.10854,0.0297881
-0.158457,0.0792345,0.475262
-2.37201,1.1221,0.000359289
0.0936821,-0.0720564,0.261463
-2.71517,0.909362,0.00236174
1.72242,1.51988,0.00798015
-0.559214,-0.028348,0.0133072
-0.0329206,0.0987783,0.140838
0.0457235,-0.0976354,0.456998
-0.024233,-0.224141,0.0796027
0.0713909,0.163183,0.220018
1.04152,1.68993,0.00200434
0.0259237,-0.0423701,0.268874
0.505768,-0.920718,0.0152914
-0.16277,-0.319652,0.140834
0.0214948,0.125419,0.495567
0.715581,-0.109778,0.0117465
-0.0632619,0.452603,0.0303032
0.0402885,-0.290355,0.0925758
0.143818,0.102813,0.512687
0.0356518,0.11219,0.241161
0.0170207,0.157194,0.226262
-0.514215,0.526445,0.100776
-10.6426,10.7242,0.00575072
9.84196,-9.95466,0.026053
0.00889075,0.00382217,0.513316
-0.0466054,0.0503867,0.264584
2.89585,-1.87106,0.0938735
-1.43477,1.27925,0.0301478
0.0526629,0.00450907,0.390377
0.0448935,0.0126696,0.0323489
20.9205,-10.5616,0.000707521
-0.252444,0.386845,0.00692746
0.493047,-1.47736,0.0167859
-0.495895,0.698655,0.0507434
0.015586,0.264386,0.058278
-0.018745,-0.030416,0.51212
-0.0190286,-0.0325021,0.0107025
-0.164075,-0.207125,0.01368
0.000463514,0.00387701,0.222666
-0.558652,-0.312279,0.00597532
0.12722,0.00218737,0.291107
-0.0165741,0.00212331,0.100279
0.321742,1.94246,0.0212006
-0.126704,0.103729,0.233522
1.41377,0.147632,0.016306
-1.03946,-0.104069,0.1375
0.0169541,-0.00943957,0.0306506
-0.0823199,-0.00294609,0.26888
-0.175502,0.52858,0.164479
-0.0601457,-0.00244909,0.119291
-1.41162,-2.21392,0.00358938
-0.0679745,0.00893362,0.0785375
0.123766,-0.0139624,0.403915
0.19296,0.122506,0.191364
0.350962,0.786345,0.00481335
0.00184878,-0.129879,0.266111
-0.0141829,-0.059192,0.16819
0.0743303,-0.118695,0.0126142
-0.0129714,-0.0324969,0.119365
-0.01856,-0.060577,0.0452961
0.000262847,-0.0380647,0.0131451
-2.5708,-1.9051,0.00967788
-0.174961,0.0856298,0.0434187
0.045501,-0.0313092,0.485671
0.153492,-0.16803,0.353209
0.349748,0.441024,0.00697897
-0.0712597,0.10105,0.132127
-0.00142159,-0.0232666,0.0737507
-1.19227,-0.00190803,0.0160517
-0.000687478,0.0159792,0.084156
-0.02631,0.156624,0.0485792
-0.0293805,-0.0809302,0.445901
0.477921,-0.491349,0.00395579
0.111992,0.802712,0.174981
-0.211636,0.0965785,0.127096
1.83704,0.173873,0.00468158
0.0820853,0.0150644,0.115257
0.134128,0.0150676,0.00556275
-0.0808071,0.00159465,0.105714
0.0915396,0.0849929,0.0737801
1.15866,0.196675,0.0139176
-0.723144,-0.200017,0.0148403
0.214481,0.795272,0.0395488
-0.148628,-0.668989,0.0169866
0.0322114,0.419428,0.046461
0.024997,0.0861263,0.00732233
-0.0167474,-0.0492196,0.229193
0.0265457,-0.0284673,0.150922
-5.74127,3.61522,0.00373332
5.57279,-3.5033,0.0769442
0.117695,-0.0493599,0.0512809
-0.0636226,-0.0333425,0.470579
-0.243484,-0.876449,0.0189993
0.125675,-0.000654987,0.33712
7.6565,2.43267,0.00264227
-0.185949,0.291844,0.0360575
-0.924897,-0.223574,0.0639977
0.204742,0.209937,0.0146555
-0.225828,-0.168189,0.0980985
0.069258,-0.0367447,0.129706
0.528743,0.621193,0.010184
-0.162683,-0.319541,0.00781544
0.0395523,-0.180324,0.0343697
-0.000918601,0.00381583,0.0191557
0.0295513,-0.00505625,0.49304
0.371124,-4.13737,0.0527107
14.6388,19.3293,0.00372548
-12.9559,-17.0702,0.00741607
-0.135133,0.0123556,0.228557
-0.360622,-0.845947,0.0295915
-37.6896,-2.29387,0.000188278
-1.03434,1.94268,0.00497397
1.3103,-1.35744,0.00804821
0.243206,-0.113874,0.0381023
0.000257724,0.134499,0.103311
0.0109546,0.0996672,0.0960215
1.50884,-0.293547,0.0117494
0.139172,-0.192416,0.117045
118.286,172.916,0.000165417
-117.906,-171.844,0.0136622
-0.107074,0.23946,0.00496763
0.0661181,-0.158346,0.0178964
-0.0597404,0.146512,0.0223705
-0.327428,0.161726,0.129427
-0.0214074,-0.675253,0.0867412
0.16467,0.200505,0.0611727
0.0138551,-0.123657,0.00848923
-0.793012,-1.63346,0.00581105
-0.127971,-0.1333,0.248635
0.0528961,0.00638609,0.373172
0.121091,0.103223,0.017516
-0.0674625,-0.212952,0.0165827
-0.00338987,-0.00278511,0.0061387
0.23973,0.144089,0.038209
0.255149,0.293444,0.03262
0.0406396,-0.0499314,0.292498
0.165439,-0.110553,0.0332314
-0.106312,0.0759491,0.0548307
5.0446,0.83589,0.00263714
0.204817,-0.0105703,0.0270829
0.547443,0.176428,0.00630868
-0.0994624,0.0277253,0.29104
1.38204,-1.19309,0.0432025
-0.603693,0.394628,0.00714698
-0.0823838,0.0981663,0.164437
0.696727,-1.32781,0.00724176
0.103619,0.139014,0.00323983
-0.0267399,0.00876591,0.510283
-0.0873034,-0.0394521,0.465509
0.0656291,-0.0957627,0.064951
0.294495,-0.0641542,0.0456589
-0.00386353,0.0160403,0.0108426
-0.0099544,0.0277549,0.0414763
-0.0353206,0.119555,0.0212069
-0.0381544,0.118124,0.00249585
0.00845577,0.00880446,0.00806596
-0.353066,-0.660785,0.0165322
-0.0918818,0.508564,0.017372
-0.0643257,0.0113517,0.268732
-0.173882,0.0656566,0.152756
-0.222192,0.0876809,0.0177881
-0.0466502,0.109686,0.0737627
-0.501229,0.741625,0.0113662
-0.0672203,-0.0238779,0.116519
-0.0139191,0.0126222,0.147515
-0.135885,0.0348517,0.336054
-0.125777,0.034795,0.0338298
-0.137096,0.041915,0.0258978
-46.0308,10.2604,4.84553e-05
46.0856,-10.2757,0.01254
-0.0400518,-0.184765,0.00956209
-0.0715578,0.132386,0.0287206
0.0937351,0.10842,0.305252
0.0289171,0.0463007,0.0229071
-1.64106,0.825482,0.0306262
5.3294,-0.148851,0.00710781
-0.028916,0.0104456,0.113817
-2.74885,0.322624,0.00384158
2.62335,-0.335378,0.0289866
0.722429,0.672524,0.0104213
0.363756,-0.134984,0.0705812
-0.239411,-0.0244192,0.0326205
-0.515461,0.974258,0.0154314
0.185205,-0.521626,0.00880365
1.40065,-0.729245,0.03485
0.00941202,0.0963577,0.00904082
-0.0620386,0.0517689,0.0535275
0.283093,0.0126024,0.136285
0.0382412,-0.0056624,0.490213
0.0913488,0.0419253,0.0102008
5.16784,3.45735,0.00271625
0.0368386,-0.0296052,0.0879969
0.0473634,-0.0330578,0.0466279
0.203512,1.24907,0.0438185
-0.150931,-0.68141,0.015032
-0.150832,0.0963613,0.134425
11.4119,12.5959,0.00151525
-8.94585,-9.57745,0.00317566
0.019657,0.101088,0.135248
-0.0467458,0.00449598,0.506401
-7.13072,-7.45467,0.00119799
-0.69387,-0.0240342,0.0287381
0.0228971,-0.000130048,0.0737797
-0.115717,0.0712098,0.0202399
-0.0276855,-0.0996064,0.34897
-0.155608,-0.0590624,0.036685
-0.211584,0.478697,0.0150884
0.00633908,-0.0681135,0.00951468
-0.059274,-0.349906,0.0186976
-1.51334,0.448898,0.0076064
-0.0786621,-0.0579218,0.206486
-0.0488709,-0.0297245,0.0501145
0.140303,-0.0738236,0.0719514
-0.581835,-0.273665,0.00970811
0.269715,0.368918,0.0314064
-2.93163,-0.332696,0.0661713
1.96634,0.172433,0.0937736
0.252638,-0.0308233,0.0215046
-1.67752,0.815221,0.0313095
0.924577,-1.13114,0.02326
0.492738,-0.809918,0.0105464
-0.389228,0.653853,0.0265136
-0.0386984,-0.0772322,0.0707229
-0.0245659,-0.017392,0.163159
-0.114303,-0.0354999,0.0653981
-50.0881,29.6499,0.000117714
0.124332,15.0423,0.00267958
0.224661,-0.0023647,0.268194
0.0904212,-0.0617396,0.0871921
0.0176422,-0.0234387,0.0102991
-0.0928049,-0.400038,0.0963485
-0.105624,-1.81195,0.00648966
0.164362,2.00803,0.0232665
-0.0448539,0.552055,0.0124585
-0.694498,0.065227,0.00353512
0.244171,0.0440869,0.0167192
0.367215,0.0541246,0.00608551
0.106179,0.398145,0.0070006
-0.066172,-0.0776395,0.213484
-0.0906044,-0.0382184,0.153199
-0.060481,0.00824251,0.510895
-0.24222,0.533474,0.0419337
0.207789,1.72057,0.0153783
0.331054,-0.84064,0.0104482
-0.00871755,-0.0324394,0.48912
3.22595,-7.64779,0.00228466
-2.49115,6.28101,0.00656631
2.56667,-3.39014,0.00571368
2.58177,-1.52605,0.000953546
0.142431,0.195489,0.0729972
-0.00897379,0.00464998,0.4736
0.036524,-0.25471,0.111692
4.60517,-9.75189,0.00252519
1.9554,2.39635,0.0158194
-0.578682,0.322013,0.0110615
0.101084,0.045738,0.0735012
-0.353346,0.21294,0.0855482
0.855226,0.819592,0.0641399
-0.742113,-0.80099,0.0403598
0.458581,-0.0254417,0.0372927
-0.1073,0.0573376,0.200144
0.271523,1.34509,0.025065
-0.169583,0.09838,0.0911294
-0.245633,0.125847,0.00732774
-0.0477621,-0.0267173,0.284412
-0.0632385,-0.0526347,0.0565251
-0.0232475,-0.0013663,0.0460525
-0.0701133,-0.110687,0.00913463
-0.554309,-0.6923,0.128166
0.301953,0.530897,0.138125
-0.140653,-0.0529079,0.0105562
-4.9478,2.08715,0.000985455
0.0355142,0.0619293,0.274628
0.00991568,0.0116698,0.0981323
-0.0664081,0.0418622,0.258358
-0.214545,-0.0751037,0.0385436
0.243728,-0.322853,0.123483
0.0781833,-0.0773307,0.177514
0.104311,-0.0239,0.113472
0.0399954,-0.00660924,0.00376359
0.0408426,0.215416,0.00994024
0.140734,0.0232941,0.131349
-0.289939,0.599566,0.0976031
-0.0126304,0.013263,0.513213
-0.0935249,0.903042,0.0212738
0.171856,-0.476575,0.0172829
-0.077651,0.165522,0.072554
-0.0170678,-0.00539945,0.132293
-0.0658944,-0.0283416,0.059663
-0.176145,-0.276488,0.0148154
-1.44472,2.96265,0.0060813
-0.567343,0.395632,0.00862705
2.28345,1.93168,0.0040263
-0.504374,1.24413,0.00556875
0.19367,-0.0247052,0.0283567
-0.0226294,0.076706,0.227335
1.73719,-0.262528,0.00873002
-0.0244668,-0.0277324,0.418844
-0.0313318,0.843654,0.0185455
-0.00293672,-0.568023,0.00514364
0.0196846,0.668482,0.00204568
-0.00778717,0.17417,0.0704924
-0.951004,-0.740134,0.00460225
0.121647,0.0847056,0.374652
-0.0121304,0.0347343,0.0760555
0.0144453,0.00227598,0.353918
-0.00389196,-0.0153565,0.318949
-0.00179979,-0.0368165,0.00435671
0.0209171,-0.0766293,0.0489819
0.0559157,-0.0726859,0.00101091
-0.0224554,-0.0143205,0.246359
-0.041607,-0.045727,0.0878157
0.0334016,-0.0540042,0.028093
0.00203135,-0.000443547,0.0333414
0.0372106,-0.0415622,0.0190577
-0.0246433,0.0517643,0.172153
