Cm,Ch,Bm,Bh,T,R,G,B
0,0,0,0,0.01,162.09,150.12,152.74
0,0,0,0,0.058,163.73,153.14,158.69
0,0,0,0,0.106,157.91,150.91,160.74
0,0,0,0,0.154,160.12,153.49,162.35
0,0,0,0,0.202,162.05,155.28,164.26
0,0,0,0,0.25,162.66,156.32,165.82
0,0,0,0.2,0.01,152.62,144.56,153.69
0,0,0,0.2,0.058,154.88,149.09,157.65
0,0,0,0.2,0.106,157.91,150.91,160.74
0,0,0,0.2,0.154,157.73,153.34,165.92
0,0,0,0.2,0.202,159,156.04,167.84
0,0,0,0.2,0.25,160.32,157.6,170.53
0,0,0,0.4,0.01,147.56,145,157.26
0,0,0,0.4,0.058,150.93,148.63,160.41
0,0,0,0.4,0.106,154.26,151.06,164.12
0,0,0,0.4,0.154,157.73,153.34,165.93
0,0,0,0.4,0.202,168.57,158.75,167.38
0,0,0,0.4,0.25,170.67,160.23,170.55
0,0,0,0.6,0.01,157.83,147.18,158.05
0,0,0,0.6,0.058,160.22,150.86,161.43
0,0,0,0.6,0.106,163.06,154.17,163.28
0,0,0,0.6,0.154,164.79,156.81,166.13
0,0,0,0.6,0.202,168.74,158.6,168.5
0,0,0,0.6,0.25,170.45,160.23,170.55
0,0,0,0.8,0.01,150.27,144.14,153.91
0,0,0,0.8,0.058,154.63,146.97,157.79
0,0,0,0.8,0.106,156.29,149.6,160.95
0,0,0,0.8,0.154,159.32,151.84,164.3
0,0,0,0.8,0.202,161.42,152.75,165.52
0,0,0,0.8,0.25,163.7,154.27,165.99
0,0,0,1,0.01,150.27,144.14,153.91
0,0,0,1,0.058,162.28,149.99,156.54
0,0,0,1,0.106,165.06,153.29,159.2
0,0,0,1,0.154,166.75,155.03,160.77
0,0,0,1,0.202,168.45,156.6,163.37
0,0,0,1,0.25,169.07,157.53,164.14
0,0,0.2,0,0.01,157.7,146.5,152.03
0,0,0.2,0,0.058,162.28,149.99,156.54
0,0,0.2,0,0.106,161.18,153.31,159.76
0,0,0.2,0,0.154,164.05,156.11,162.98
0,0,0.2,0,0.202,165.84,157.44,165.3
0,0,0.2,0,0.25,167.47,159.66,166.42
0,0,0.2,0.2,0.01,153.81,145.61,156.12
0,0,0.2,0.2,0.058,157.78,149.84,159.5
0,0,0.2,0.2,0.106,161.43,153.07,161.38
0,0,0.2,0.2,0.154,163.44,154.2,163.21
0,0,0.2,0.2,0.202,167.18,154.65,163.43
0,0,0.2,0.2,0.25,168.03,156.13,164.14
0,0,0.2,0.4,0.01,156.61,145.83,152.52
0,0,0.2,0.4,0.058,159.06,149.15,154.99
0,0,0.2,0.4,0.106,161.67,151.16,157.26
0,0,0.2,0.4,0.154,164.29,153.05,161.39
0,0,0.2,0.4,0.202,165.13,154.82,163.45
0,0,0.2,0.4,0.25,163.42,157.25,165.4
0,0,0.2,0.6,0.01,150.25,143.91,153.31
0,0,0.2,0.6,0.058,155.46,147.71,156.58
0,0,0.2,0.6,0.106,157.94,150.52,159.4
0,0,0.2,0.6,0.154,158.49,152.41,161.74
0,0,0.2,0.6,0.202,161.15,155.38,163.94
0,0,0.2,0.6,0.25,163.42,157.25,165.4
0,0,0.2,0.8,0.01,155.15,148.32,155.25
0,0,0.2,0.8,0.058,159.56,151.32,158.97
0,0,0.2,0.8,0.106,162.64,153.76,162.56
0,0,0.2,0.8,0.154,164.4,155.65,164.08
0,0,0.2,0.8,0.202,165.46,156.89,165.61
0,0,0.2,0.8,0.25,166.2,159.17,167.05
0,0,0.2,1,0.01,155.15,148.32,155.25
0,0,0.2,1,0.058,157.58,149.56,159.68
0,0,0.2,1,0.106,161.34,152.26,163.63
0,0,0.2,1,0.154,164.35,153.66,166.38
0,0,0.2,1,0.202,165.71,154.78,169.37
0,0,0.2,1,0.25,167.92,157.39,170.56
0,0,0.4,0,0.01,152.93,146.54,157.08
0,0,0.4,0,0.058,157.58,149.55,159.73
0,0,0.4,0,0.106,163.39,153.53,163.43
0,0,0.4,0,0.154,165.81,154.3,165.2
0,0,0.4,0,0.202,167.06,156.41,165.8
0,0,0.4,0,0.25,169.8,158.04,168.39
0,0,0.4,0.2,0.01,158.14,147.02,154.96
0,0,0.4,0.2,0.058,162.2,150.27,159.01
0,0,0.4,0.2,0.106,164.15,157.23,161.61
0,0,0.4,0.2,0.154,166.16,158.69,163.52
0,0,0.4,0.2,0.202,169.28,160.73,165.9
0,0,0.4,0.2,0.25,171.39,162.61,167.78
0,0,0.4,0.4,0.01,157.73,151.6,154.9
0,0,0.4,0.4,0.058,161.62,154.22,157.83
0,0,0.4,0.4,0.106,164.17,157.21,161.73
0,0,0.4,0.4,0.154,158.16,153.73,164.53
0,0,0.4,0.4,0.202,159.18,155.54,166.7
0,0,0.4,0.4,0.25,160.93,156.91,167.65
0,0,0.4,0.6,0.01,151.4,145.46,153.39
0,0,0.4,0.6,0.058,154.59,149.63,158.79
0,0,0.4,0.6,0.106,155.8,151.77,161.14
0,0,0.4,0.6,0.154,158.16,153.73,164.53
0,0,0.4,0.6,0.202,162.7,153.41,164.96
0,0,0.4,0.6,0.25,165.15,154.93,166.38
0,0,0.4,0.8,0.01,148.76,143.74,154.98
0,0,0.4,0.8,0.058,154.62,146.14,158.82
0,0,0.4,0.8,0.106,158.24,148.98,161.24
0,0,0.4,0.8,0.154,159.68,151.32,163.84
0,0,0.4,0.8,0.202,162.72,153.4,165.05
0,0,0.4,0.8,0.25,165.32,155.26,166.34
0,0,0.4,1,0.01,154.73,146.49,152.29
0,0,0.4,1,0.058,157.28,149.2,157.98
0,0,0.4,1,0.106,157.95,152.4,158.9
0,0,0.4,1,0.154,161.12,153.97,161.39
0,0,0.4,1,0.202,162.82,155.9,163.61
0,0,0.4,1,0.25,164.29,157.41,164.12
0,0,0.6,0,0.01,154.84,146.49,152.28
0,0,0.6,0,0.058,163.79,153.19,159.32
0,0,0.6,0,0.106,164.5,155.97,162.14
0,0,0.6,0,0.154,166.08,158.11,164.95
0,0,0.6,0,0.202,165.89,159.89,165.33
0,0,0.6,0,0.25,167.56,162.04,167.76
0,0,0.6,0.2,0.01,160.97,149.21,155.98
0,0,0.6,0.2,0.058,163.79,153.19,159.32
0,0,0.6,0.2,0.106,162.8,156.13,164.45
0,0,0.6,0.2,0.154,164.85,157.67,166.51
0,0,0.6,0.2,0.202,166.85,159.35,168.19
0,0,0.6,0.2,0.25,167.51,161.03,169.68
0,0,0.6,0.4,0.01,159.06,150.27,157.46
0,0,0.6,0.4,0.058,160.79,153.91,161.73
0,0,0.6,0.4,0.106,162.8,156.13,164.45
0,0,0.6,0.4,0.154,167.31,160.55,166.23
0,0,0.6,0.4,0.202,169.82,162.2,167.42
0,0,0.6,0.4,0.25,171.33,164.33,167.86
0,0,0.6,0.6,0.01,159.03,150.48,158.96
0,0,0.6,0.6,0.058,163.32,155.53,161.99
0,0,0.6,0.6,0.106,164.24,158.55,164.46
0,0,0.6,0.6,0.154,167.28,160.56,166.4
0,0,0.6,0.6,0.202,166.02,162.5,167.46
0,0,0.6,0.6,0.25,164.55,154.29,171.12
0,0,0.6,0.8,0.01,152.25,144.62,156.94
0,0,0.6,0.8,0.058,155.72,148.07,160.75
0,0,0.6,0.8,0.106,158.56,150.94,164.76
0,0,0.6,0.8,0.154,160.57,152.67,166.44
0,0,0.6,0.8,0.202,162.95,153.92,169.31
0,0,0.6,0.8,0.25,164.56,154.29,171.12
0,0,0.6,1,0.01,151.21,143.98,152.01
0,0,0.6,1,0.058,156.18,147.66,156.29
0,0,0.6,1,0.106,158.28,149.43,159.66
0,0,0.6,1,0.154,160.86,151.3,162.14
0,0,0.6,1,0.202,162.34,153.48,163.43
0,0,0.6,1,0.25,162.74,154.96,165.83
0,0,0.8,0,0.01,151.63,143.95,152.01
0,0,0.8,0,0.058,158.11,152.76,161.58
0,0,0.8,0,0.106,161.73,155.03,163.98
0,0,0.8,0,0.154,162.42,156.55,167.4
0,0,0.8,0,0.202,163.93,158.58,169.82
0,0,0.8,0,0.25,166.41,160.01,170.57
0,0,0.8,0.2,0.01,155,149.38,157.74
