Cm,Ch,Bm,Bh,T,sR,sG,sB
0,0,0,0,0.01,144.42,140.41,148.58
0,0,0,0,0.13,153.62,147.5,158.07
0,0,0,0,0.25,159.37,152.71,162.4
0,0,0,0,0.25,159.37,152.71,162.4
0,0,0,0.5,0.01,144.42,140.41,148.58
0,0,0,0.5,0.13,153.62,147.5,158.07
0,0,0,0.5,0.25,159.37,152.71,162.4
0,0,0,0.5,0.25,159.37,152.71,162.4
0,0,0,1,0.01,144.42,140.41,148.58
0,0,0,1,0.13,153.62,147.5,158.07
0,0,0,1,0.25,159.28,152.71,162.4
0,0,0,1,0.25,155.7,147.59,159.2
0,0,0,0.75,0.01,143.69,137.83,145.43
0,0,0,0.75,0.13,153.27,143.82,155.44
0,0,0,0.75,0.25,155.7,147.59,159.2
0,0,0,0.75,0.25,155.7,147.59,159.2
0,0,0.5,0,0.01,143.69,137.83,145.43
0,0,0.5,0,0.13,153.27,143.82,155.44
0,0,0.5,0,0.25,155.7,147.59,159.2
0,0,0.5,0,0.25,155.7,147.59,159.2
0,0,0.5,0.5,0.01,143.69,137.83,145.43
0,0,0.5,0.5,0.13,153.27,143.82,155.44
0,0,0.5,0.5,0.25,155.7,147.59,159.2
0,0,0.5,0.5,0.25,163.06,152.51,159.89
0,0,0.5,1,0.01,148.36,139.86,147.24
0,0,0.5,1,0.13,156.75,147.57,154.55
0,0,0.5,1,0.25,163.06,152.51,159.89
0,0,0.5,1,0.25,163.06,152.51,159.89
0,0,0.5,0.75,0.01,148.36,139.86,147.24
0,0,0.5,0.75,0.13,156.75,147.57,154.55
0,0,0.5,0.75,0.25,163.06,152.51,159.89
0,0,0.5,0.75,0.25,163.06,152.51,159.89
0,0,1,0,0.01,148.36,139.86,147.24
0,0,1,0,0.13,156.75,147.57,154.55
0,0,1,0,0.25,163.06,152.51,159.89
0,0,1,0,0.25,161,150.69,160.14
0,0,1,0.5,0.01,147.18,138.95,146.3
0,0,1,0.5,0.13,157.26,145.52,155.22
0,0,1,0.5,0.25,161.36,150.4,160.18
0,0,1,0.5,0.25,161.36,150.4,160.18
0,0,1,1,0.01,147.18,138.95,146.3
0,0,1,1,0.13,157.26,145.52,155.22
0,0,1,1,0.25,161.36,150.4,160.18
0,0,1,1,0.25,161.36,150.4,160.18
0,0,1,0.75,0.01,147.18,138.95,146.3
0,0,1,0.75,0.13,157.26,145.52,155.22
0,0,1,0.75,0.25,161.36,150.4,160.18
0,0,1,0.75,0.25,161.36,150.4,160.18
0,0,0.01,0,0.01,151.91,140.95,148.42
0,0,0.01,0,0.13,160.5,150.04,157.9
0,0,0.01,0,0.25,166.73,152.54,162.04
0,0,0.01,0,0.25,166.73,152.54,162.04
0,0,0.01,0.5,0.01,151.91,140.95,148.42
0,0,0.01,0.5,0.13,160.5,150.04,157.9
0,0,0.01,0.5,0.25,166.73,152.54,162.04
0,0,0.01,0.5,0.25,166.73,152.54,162.04
0,0,0.01,1,0.01,151.91,140.95,148.42
0,0,0.01,1,0.13,160.5,150.04,157.9
0,0,0.01,1,0.25,166.73,152.54,162.04
0,0,0.01,1,0.25,166.73,152.54,162.04
0,0,0.01,0.75,0.01,150.47,140.81,148.46
0,0,0.01,0.75,0.13,157.38,148.78,155.67
0,0,0.01,0.75,0.25,162.83,154.05,161.54
0,0,0.01,0.75,0.25,162.83,154.05,161.54
0,0,0.5,0,0.01,150.59,140.24,147.91
0,0,0.5,0,0.13,157.38,148.78,155.67
0,0,0.5,0,0.25,162.83,154.05,161.54
0,0,0.5,0,0.25,162.83,154.05,161.54
0,0,0.5,0.5,0.01,150.59,140.24,147.91
0,0,0.5,0.5,0.13,157.38,148.78,155.67
0,0,0.5,0.5,0.25,162.83,154.05,161.54
0,0,0.5,0.5,0.25,162.83,154.05,161.54
0,0,0.5,1,0.01,150.59,140.24,147.91
0,0,0.5,1,0.13,154.87,149.69,159.18
0,0,0.5,1,0.25,159.11,154.65,163.71
0,0,0.5,1,0.25,159.11,154.65,163.71
0,0,0.5,0.75,0.01,146.13,141.08,150.67
0,0,0.5,0.75,0.13,154.87,149.69,159.18
0,0,0.5,0.75,0.25,159.11,154.65,163.71
0,0,0.5,0.75,0.25,159.11,154.65,163.71
0,0,1,0,0.01,146.13,141.08,150.67
0,0,1,0,0.13,154.87,149.69,159.18
0,0,1,0,0.25,159.11,154.65,163.71
0,0,1,0,0.25,159.11,154.65,163.71
0,0,1,0.5,0.01,146.13,141.08,150.67
0,0,1,0.5,0.13,162.71,150.99,158.43
0,0,1,0.5,0.25,168.48,155.55,160.18
0,0,1,0.5,0.25,168.48,155.55,160.18
0,0,1,1,0.01,153.37,144.71,147.86
0,0,1,1,0.13,162.29,151.42,155.2
0,0,1,1,0.25,168.48,155.55,160.18
0,0,1,1,0.25,168.48,155.55,160.18
0,0,1,0.75,0.01,153.37,144.71,147.86
0,0,1,0.75,0.13,162.29,151.42,155.2
0,0,1,0.75,0.25,168.48,155.55,160.18
0,0,1,0.75,0.25,168.48,155.55,160.18
0,0.063,0,0,0.01,131.93,96.56,83.14
0,0.063,0,0,0.13,147.34,122.36,126.57
0,0.063,0,0,0.25,154.5,136.58,141.34
0,0.063,0,0,0.25,153.96,134.64,140.3
0,0.063,0,0.5,0.01,127.29,93.48,85.3
0,0.063,0,0.5,0.13,142.63,120.93,125.86
0,0.063,0,0.5,0.25,151.38,133.1,141.47
0,0.063,0,0.5,0.25,151.38,133.1,141.47
0,0.063,0,1,0.01,121.34,93.21,92.2
0,0.063,0,1,0.13,141.54,121.15,130.65
0,0.063,0,1,0.25,150.24,134.09,143.51
0,0.063,0,1,0.25,150.24,134.09,143.51
0,0.063,0,0.75,0.01,123.49,93.23,86.91
0,0.063,0,0.75,0.13,140.83,120.16,127.51
0,0.063,0,0.75,0.25,151.39,132.03,140.25
0,0.063,0,0.75,0.25,151.39,132.03,140.25
0,0.063,0.5,0,0.01,132.2,96.22,81.47
0,0.063,0.5,0,0.13,148.31,121.72,123.22
0,0.063,0.5,0,0.25,153.96,134.64,140.3
0,0.063,0.5,0,0.25,153.96,134.64,140.3
0,0.063,0.5,0.5,0.01,127.29,93.48,85.3
0,0.063,0.5,0.5,0.13,142.4,120.93,125.87
0,0.063,0.5,0.5,0.25,151.82,133.12,142.68
0,0.063,0.5,0.5,0.25,151.82,133.12,142.68
0,0.063,0.5,1,0.01,122.15,93.59,94.36
0,0.063,0.5,1,0.13,141.54,122.7,129.75
0,0.063,0.5,1,0.25,149.85,132.57,142.03
0,0.063,0.5,1,0.25,149.85,132.57,142.03
0,0.063,0.5,0.75,0.01,123.11,93.34,89.04
0,0.063,0.5,0.75,0.13,142.29,122.35,129.13
0,0.063,0.5,0.75,0.25,151.54,133.22,142.9
0,0.063,0.5,0.75,0.25,151.54,133.22,142.9
0,0.063,1,0,0.01,128.6,98.12,81.91
0,0.063,1,0,0.13,145.18,121.76,126.29
0,0.063,1,0,0.25,151.19,134.24,139.91
0,0.063,1,0,0.25,151.19,134.24,139.91
0,0.063,1,0.5,0.01,126.04,94.51,86.76
0,0.063,1,0.5,0.13,143.41,120.78,127.77
0,0.063,1,0.5,0.25,151.82,133.12,142.68
0,0.063,1,0.5,0.25,151.82,133.12,142.68
0,0.063,1,1,0.01,122.2,93.6,94.36
0,0.063,1,1,0.13,142.85,120.29,129.94
0,0.063,1,1,0.25,149.75,133.12,144.89
0,0.063,1,1,0.25,149.75,133.12,144.89
0,0.063,1,0.75,0.01,124.46,92.95,86.8
0,0.063,1,0.75,0.13,142.95,121.59,130.44
0,0.063,1,0.75,0.25,152.48,134.96,141.74
0,0.063,1,0.75,0.25,152.48,134.96,141.74
0,0.063,0.01,0,0.01,132.21,96.1,79.51
0,0.063,0.01,0,0.13,147.72,125.04,124.97
0,0.063,0.01,0,0.25,157.84,134.6,140.5
0,0.063,0.01,0,0.25,157.84,134.6,140.5
0,0.063,0.01,0.5,0.01,126.84,95.02,83.94
0,0.063,0.01,0.5,0.13,146.84,121.49,126.03
0,0.063,0.01,0.5,0.25,153.58,135.44,140.22
0,0.063,0.01,0.5,0.25,153.58,135.44,140.22
0,0.063,0.01,1,0.01,121.96,92.88,92.87
0,0.063,0.01,1,0.13,142.85,120.29,129.94
0,0.063,0.01,1,0.25,149.75,133.12,144.89
